customer_id,risk_grade,customer_status,total_credit_limit,card_count,blocked_or_lost_card_count,current_month_spend,credit_utilization_pct,is_high_risk_flag
CUST0000001,Medium,Active,214000.0,1,0,6250.05,2.9205841121495326,False
CUST0000002,Medium,Active,2545000.0,3,0,7751.03,0.3045591355599214,False
CUST0000003,Medium,Active,56000.0,1,0,261.3,0.4666071428571429,False
CUST0000004,Low,Active,655000.0,3,0,1734.84,0.2648610687022901,False
CUST0000005,Medium,Active,279000.0,3,0,32291.170000000002,11.573896057347671,False
CUST0000006,Medium,Active,379000.0,4,0,7890.41,2.0819023746701846,False
CUST0000007,Low,Dormant,166000.0,1,0,20295.67,12.226307228915662,True
CUST0000008,Medium,Active,847000.0,3,0,16215.45,1.9144569067296342,False
CUST0000009,Low,Active,1096000.0,3,0,2078.3,0.18962591240875915,False
CUST0000010,Medium,Active,138000.0,1,0,3732.05,2.7043840579710148,False
CUST0000011,Low,Active,686000.0,2,0,3941.13,0.5745087463556852,False
CUST0000012,Low,Active,777000.0,1,0,956.56,0.12310939510939509,False
CUST0000013,Medium,Active,748000.0,3,0,3192.8199999999997,0.4268475935828877,False
CUST0000014,Low,Active,452000.0,1,0,796.28,0.17616814159292032,False
CUST0000015,Medium,Active,438000.0,2,0,1449.13,0.330851598173516,False
CUST0000016,Low,Active,249000.0,2,0,2398.4,0.9632128514056225,False
CUST0000017,Medium,Active,1370000.0,3,0,2797.91,0.20422700729927004,False
CUST0000018,Medium,Active,123000.0,2,0,276.18,0.22453658536585366,False
CUST0000019,Medium,Active,204000.0,2,0,1118.36,0.5482156862745098,False
CUST0000020,Medium,Active,56000.0,1,0,21162.7,37.79053571428572,False
CUST0000021,Medium,Active,239000.0,2,0,4442.56,1.8588117154811716,False
CUST0000022,Medium,Active,1422000.0,2,1,44541.53,3.132315752461322,False
CUST0000023,Medium,Active,137000.0,2,0,2379.01,1.7365036496350368,False
CUST0000024,Low,Active,74000.0,1,0,12361.86,16.70521621621622,False
